Volatility 3 Framework 2.8.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xfa8030e57b00	108	572	N/A	False	2020-04-20 22:44:37.000000 UTC	N/A	Disabled
280	4	smss.exe	0xfa8032005aa0	2	30	N/A	False	2020-04-20 22:44:37.000000 UTC	N/A	Disabled
364	352	csrss.exe	0xfa8032f05b00	9	532	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
408	352	wininit.exe	0xfa803254d580	3	76	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
440	416	csrss.exe	0xfa8032a29350	11	534	1	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
472	408	services.exe	0xfa803317e8e0	7	241	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
508	416	winlogon.exe	0xfa8033197060	5	117	1	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
536	408	lsass.exe	0xfa80331a7b00	7	648	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
544	408	lsm.exe	0xfa80331adb00	10	211	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
660	472	svchost.exe	0xfa8033227b00	11	378	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
728	472	vmacthlp.exe	0xfa803325c060	3	66	0	False	2020-04-20 22:44:38.000000 UTC	N/A	Disabled
772	472	svchost.exe	0xfa8033266060	10	336	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
860	472	svchost.exe	0xfa80332b0b00	21	514	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
936	472	svchost.exe	0xfa80332fa5f0	20	460	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
980	472	svchost.exe	0xfa80333379b0	15	655	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
112	472	svchost.exe	0xfa803333db00	44	1260	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1160	472	svchost.exe	0xfa8033424860	21	668	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1304	472	spoolsv.exe	0xfa803343eb00	13	287	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1332	472	svchost.exe	0xfa80334d8b00	19	346	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1444	472	svchost.exe	0xfa803357c5f0	10	146	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1520	472	VGAuthService.	0xfa80335e7720	3	86	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1576	472	vmtoolsd.exe	0xfa803364a060	10	289	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1636	472	wlms.exe	0xfa80335edb00	4	46	0	False	2020-04-20 22:44:39.000000 UTC	N/A	Disabled
1952	472	sppsvc.exe	0xfa8033735060	4	170	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
2032	472	svchost.exe	0xfa803362c060	6	105	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
1080	472	svchost.exe	0xfa803376e060	7	101	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
2108	660	WmiPrvSE.exe	0xfa803379eb00	12	221	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
2216	472	dllhost.exe	0xfa80338145f0	13	195	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
2324	472	msdtc.exe	0xfa803386db00	12	148	0	False	2020-04-20 22:44:40.000000 UTC	N/A	Disabled
2944	472	svchost.exe	0xfa803365b060	9	136	0	False	2020-04-20 22:46:40.000000 UTC	N/A	Disabled
360	472	svchost.exe	0xfa80310b3b00	13	361	0	False	2020-04-20 22:46:40.000000 UTC	N/A	Disabled
2580	472	SearchIndexer.	0xfa8031090060	13	694	0	False	2020-04-20 22:46:41.000000 UTC	N/A	Disabled
1396	472	taskhost.exe	0xfa80316f9060	10	223	1	False	2020-04-20 23:16:53.000000 UTC	N/A	Disabled
2852	936	dwm.exe	0xfa8031ea9940	3	82	1	False	2020-04-20 23:16:53.000000 UTC	N/A	Disabled
2672	2148	explorer.exe	0xfa80317ff060	31	1018	1	False	2020-04-20 23:16:53.000000 UTC	N/A	Disabled
2164	2508	WerFault.exe	0xfa803140c5f0	5	133	1	False	2020-04-20 23:16:54.000000 UTC	N/A	Disabled
2928	2672	vmtoolsd.exe	0xfa8031e80b00	9	178	1	False	2020-04-20 23:16:54.000000 UTC	N/A	Disabled
1728	860	audiodg.exe	0xfa80324e1940	5	136	0	False	2020-04-20 23:16:54.000000 UTC	N/A	Disabled
